 #  | matching ident  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  Mag J  |  Mag H  |  Mag K  |  Mag g  |    spec. type     |#bib|#not
822 |WRAY 15-698      |Gaia DR3 5338350130830677888       |Be*|10 57 17.4670346136 -59 57 42.757856424|10.77    |11.48    |11.12    |11.23    |     ~   |10.475   |10.369   |10.298   |11.27    |B3Ve               |  21|   0
823 |WRAY 15-699      |Gaia DR3 5338021853555215616       |Be*|10 57 16.1404586208 -60 43 30.311922828|     ~   |9.502    |9.508    |     ~   |     ~   |9.07     |9.126    |9.107    |     ~   |B8/9III            |   9|   0
824 |WRAY 15-700      |Gaia DR3 5338134970158457216       |Em*|10 57 34.2642559848 -60 12 59.361680628|     ~   |11.27    |11.11    |     ~   |     ~   |     ~   |     ~   |     ~   |     ~   |~                  |   3|   0
825 |WRAY 15-701      |Gaia DR3 5241880664229549696       |Be*|10 57 40.0697900472 -61 39 33.054764508|     ~   |10.65    |10.45    |10.64    |10.15    |9.968    |9.836    |9.646    |10.61    |B3                 |  21|   0
826 |WRAY 15-702      |Gaia DR3 5338133870646830848       |Em*|10 57 57.3030809208 -60 15 02.880923508|     ~   |11.40    |11.15    |11.06    |10.72    |10.541   |10.451   |10.427   |     ~   |B8                 |   5|   0
827 |WRAY 15-703      |Gaia DR3 5337966676156130048       |Em*|10 57 59.2976943096 -61 23 38.667505992|     ~   |     ~   |14.2     |     ~   |     ~   |10.817   |10.731   |10.509   |     ~   |~                  |   4|   0
828 |WRAY 15-704      |Gaia DR3 5340700921044996864       |Em*|10 58 18.8059255464 -56 03 43.673209344|     ~   |10.10    |10.01    |     ~   |     ~   |9.861    |9.877    |9.806    |     ~   |A0III              |  10|   0
829 |WRAY 15-705      |Gaia DR3 5337977224571589504       |WR*|10 58 45.4633977552 -61 10 42.955415616|     ~   |11.56    |11.04    |10.45    |     ~   |8.305    |7.910    |7.656    |11.12    |O5Ifp              |  33|   0
830 |WRAY 15-706      |Gaia DR3 5338156749882184448       |Em*|10 58 54.1850406528 -60 09 15.788164680|10.69    |11.37    |11.16    |11.16    |10.52    |10.116   |9.944    |9.630    |     ~   |OBe                |  14|   0
831 |WRAY 15-707      |Gaia DR3 5241668217984150272       |Em*|10 58 56.1240996000 -62 50 46.898809332|     ~   |     ~   |12.1     |     ~   |     ~   |11.242   |11.018   |10.765   |     ~   |~                  |   2|   0
832 |WRAY 15-708      |Gaia DR3 5241826616375236480       |Be*|10 58 59.3174826168 -61 55 36.403604004|10.48    |11.22    |11.03    |11.06    |     ~   |10.453   |10.345   |10.090   |11.04    |OB+e               |  26|   0
833 |WRAY 15-709      |Gaia DR3 5338550619914909056       |Em*|10 59 11.0316420600 -59 33 50.685903288|     ~   |11.91    |10.86    |     ~   |     ~   |8.276    |7.652    |7.487    |     ~   |~                  |   2|   0
