source_id,pmRA,e_pmDE,ra,parallax,radial_velocity,e_Gflux,parallax_over_error,BPflux,teff,e_radial_velocity,BPmag,logg,ruwe,RPflux,e_pmRA,Gmag,gaia_id,RPmag,feh,e_RPflux,pmDE,e_BPflux,e_parallax,Gflux,dec,Alias1
5337278278787851136,-5.964363901108708,0.018765103,166.57734733600267,0.13319061155221876,,19.835361,8.503247,12017.72439978136,,,15.138987,,1.3173954,77749.60223877373,0.017899297,13.720029,Gaia DR3 5337278278787851136,12.52115,,70.0518,2.1624918189142366,13.095143,0.015663499,61225.92072904184,-61.23714213140727,Gaia DR3 5337278278787851136
5337417985482248576,-5.459409702995625,0.014459106,168.78154585302357,0.10317143365968381,,259.91003,7.01191,14840.952289476854,8388.579,,14.909888,2.2244,1.2347468,71161.8002857728,0.015266713,13.7706585,Gaia DR3 5337417985482248576,12.617278,-1.4913,866.17804,2.096435819049861,187.093,0.014713742,58436.4017361235,-61.281870317080184,Gaia DR3 5337417985482248576
5338030172959579008,-6.370804508243314,0.017662235,164.42853540684862,0.12566678844336052,,17.846266,7.373626,11409.674722190932,,,15.195359,,1.3437881,53157.38680196745,0.01913868,14.043341,Gaia DR3 5338030172959579008,12.933987,,45.83161,2.7954789501513484,24.636873,0.01704274,45458.004601656525,-60.566780816102664,Gaia DR3 5338030172959579008
5338141464150107008,-5.480304535465953,0.015864834,165.2586627662164,0.09152568486499342,,25.646118,5.5745897,16216.788042854032,7831.3647,,14.81363,2.578,1.3299103,59345.57519842555,0.017169641,13.847792,Gaia DR3 5338141464150107008,12.8144245,-1.238,142.46054,2.42810232313348,39.50783,0.016418371,54428.95621712123,-60.23360855217794,Gaia DR3 5338141464150107008
5338166855999992448,-5.575462997526428,0.02503776,164.97044402990718,0.09424901855972288,,9.109178,3.8951757,9679.59359282869,7648.628,,15.373899,2.3334,1.2538829,30376.888090100252,0.026464902,14.504145,Gaia DR3 5338166855999992448,13.541537,-0.7897,27.566484,2.5426758713867064,14.3144245,0.024196345,29736.43239590457,-59.878710681640946,Gaia DR3 5338166855999992448
5338220285385672064,-4.808337347552719,0.017792236,164.04819891970297,0.1924803735684636,,386819.62,11.659522,12236930.631183727,5660.9604,,7.619361,1.1737,1.0439328,16136637.720943317,0.017995149,7.2879915,Gaia DR3 5338220285385672064,6.728363,-1.7655,923920.4,1.955179515120846,542003.5,0.016508428,22895496.200772885,-60.45354983066994,Gaia DR3 5338220285385672064
5338564015865196800,-5.060644320735048,0.0127357915,165.63736691285652,0.1412367200803789,,576.56616,11.515638,61806.963229225286,26296.678,,13.360949,3.685,1.0347601,146012.77194915834,0.0138859125,12.682219,Gaia DR3 5338564015865196800,11.836919,0.0046,1597.0975,3.279229681772319,658.16876,0.012264775,159242.59645870823,-59.43912707767813,Gaia DR3 5338564015865196800
5351766715283439104,-4.4676724752486,0.0381778,156.26084611573364,0.16111813463183233,,13.313162,4.506779,1652.938767828505,7159.3784,,17.2929,1.7309,1.0379652,33897.54362737442,0.041661046,14.832278,Gaia DR3 5351766715283439104,13.422475,-0.0987,43.810646,5.486144299944301,11.885287,0.03575017,21980.393806212185,-57.36312879179937,Gaia DR3 5351766715283439104
5597770416085979648,-1.9997980787073506,0.014722434,119.94267807961536,0.21170863837094503,,433.3701,15.673193,469397.9099516323,16578.287,,11.159689,3.485,1.0456829,476958.26051909564,0.011318453,10.948094,Gaia DR3 5597770416085979648,10.551695,0.7018,566.6368,2.7511742865359166,585.11237,0.01350769,786518.2978802733,-28.73417806296701,Gaia DR3 5597770416085979648
5852718536596531968,-6.679064686739423,0.010924382,213.2646169431515,0.11500950597806939,,378.81528,8.876969,170899.63418556366,23750.295,,12.256689,3.6052,0.8999667,185866.95214679092,0.00891465,12.015092,Gaia DR3 5852718536596531968,11.57489,-0.8775,749.5886,-4.6179842944750655,693.2252,0.012955943,294381.0973406315,-65.44799496510866,Gaia DR3 5852718536596531968
5858915766471945984,-4.271586257993524,0.069662705,197.0297594341892,0.4613081562706535,,102184.52,6.6731944,80573055.41159599,,,5.5730677,,0.9417888,47440465.494018964,0.06127954,5.589323,Gaia DR3 5858915766471945984,5.5575233,,123362.96,-1.663808463105784,192258.92,0.069128536,109450443.23027636,-65.30602945763631,Gaia DR3 5858915766471945984
