_r,AllWISE,RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,query_idx,gaia_id,sep_arcsec
0.673,J144626.28-592329.0,221.6095376,-59.3913937,5.438,5.362,5.147,5.168,0.08,0.048,0.018,,AAAU,104,Gaia DR3 5879035145561896448,0.6457050619865133
0.38,J150246.12-582706.4,225.6921936,-58.4517969,9.304,8.934,7.899,6.54,0.024,0.023,0.036,0.11,AAAB,105,Gaia DR3 5879721167786590720,0.37986404650067124
0.702,J151057.66-575729.4,227.7402751,-57.9581859,10.081,9.534,10.747,7.218,0.027,0.025,0.306,0.175,AABB,106,Gaia DR3 5880077688741091968,0.699649825301523
1.396,J150731.99-581509.1,226.8833307,-58.2525532,9.368,9.051,9.837,7.113,0.025,0.023,,,AAUU,107,Gaia DR3 5880092291630768512,1.425805824596533
0.961,J145655.29-555058.2,224.2303907,-55.8495245,10.742,10.393,9.969,9.215,0.022,0.018,0.057,,AAAU,108,Gaia DR3 5881477813761075712,0.9920616873369927
0.288,J152944.72-583451.2,232.4363507,-58.5808959,4.337,2.815,1.812,1.477,0.242,0.463,0.012,0.016,BCAA,109,Gaia DR3 5882096598319863936,0.31834194703000473
0.799,J153526.60-560411.9,233.8608414,-56.0699868,10.458,10.055,9.351,8.856,0.028,0.026,0.086,,AAAU,111,Gaia DR3 5883559253643620864,0.8289548039979683
0.408,J154842.12-550753.8,237.1755167,-55.131628,6.806,6.079,5.079,5.13,0.067,0.048,0.012,0.141,AAAB,112,Gaia DR3 5884424092561607168,0.4297081888255234
0.303,J154304.68-551112.4,235.7695084,-55.186804,8.465,8.113,7.51,6.629,0.024,0.022,0.042,0.141,AAAB,113,Gaia DR3 5884464430895359616,0.32714213732254577
0.848,J153917.03-554919.1,234.820985,-55.8219948,10.437,9.952,11.275,8.312,0.027,0.023,,,AAUU,114,Gaia DR3 5885078984866033920,0.8635868954036102
0.773,J160403.86-531044.6,241.0160928,-53.1790783,10.414,10.15,10.74,8.352,0.029,0.027,,,AAUU,115,Gaia DR3 5932918014247209472,0.7964943987217711
0.882,J162426.29-513206.7,246.1095639,-51.5352048,6.414,6.745,5.933,4.946,0.037,0.021,0.022,0.04,AAAA,116,Gaia DR3 5934037012236694272,0.8917702319764172
0.264,J161613.81-513641.9,244.0575695,-51.6116476,8.191,7.861,7.325,5.483,0.023,0.019,0.028,0.103,AAAA,117,Gaia DR3 5934745299485840768,0.2853485405056127
1.031,J161143.60-511016.1,242.931707,-51.1711563,6.662,6.751,6.041,4.332,0.048,0.022,0.028,0.053,AAAA,118,Gaia DR3 5934986165584098048,1.0136359958370487
0.203,J161940.19-491359.2,244.9174685,-49.2331296,7.657,7.058,3.34,-0.82,0.027,0.021,0.014,0.016,AAAA,119,Gaia DR3 5935620137100518016,0.19691545817991124
0.253,J165933.98-470536.4,254.8915904,-47.0934558,8.227,7.867,7.164,6.418,0.023,0.02,0.021,0.074,AAAA,120,Gaia DR3 5939094009724936320,0.2814742787936312
0.951,J164706.03-455209.2,251.7751458,-45.869236,6.351,5.69,3.127,0.884,0.049,0.04,0.043,0.028,AAAA,122,Gaia DR3 5940105899709768192,0.9288351311940999
1.555,J164701.46-455145.9,251.7560928,-45.8627628,4.708,4.789,2.847,1.139,0.535,0.26,0.115,0.039,CBBA,135,Gaia DR3 5940106659927357696,1.5243113174782792
0.483,J164646.32-454758.1,251.6930224,-45.7994736,5.009,4.003,3.856,3.489,0.059,0.087,0.016,0.022,AAAA,140,Gaia DR3 5940107106612387968,0.5138246649290571
3.528,J164707.28-454922.2,251.7803437,-45.8228473,8.966,6.979,3.497,2.353,0.173,0.093,0.149,0.027,BABA,141,Gaia DR3 5940199907954832768,3.500683909765828
4.349,J163348.42-492840.8,248.4517883,-49.4780219,6.642,6.959,6.865,7.565,0.045,0.018,0.029,,AAAU,142,Gaia DR3 5940491385980774528,4.341937308328334
