_r,2MASS,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qflg,query_idx,gaia_id,sep_arcsec
4.66,10595304-5952388,164.971035,-59.877453,11.473,10.547,10.269,0.055,0.048,0.023,EEA,80,Gaia DR3 5338166855999992448,4.651833716367576
0.16,10595293-5952433,164.970547,-59.878716,11.717,11.042,10.229,0.023,0.027,0.053,AAE,80,Gaia DR3 5338166855999992448,0.18700800325994343
0.135,10561158-6027128,164.04827,-60.453579,5.42,5.084,4.531,0.02,0.046,0.015,AEE,81,Gaia DR3 5338220285385672064,0.1641645122271818
0.089,11023296-5926209,165.637346,-59.439148,10.398,9.906,9.4,0.026,0.027,0.029,AAA,82,Gaia DR3 5338564015865196800,0.08448953393936666
4.182,11023247-5926225,165.635293,-59.439602,12.884,12.308,12.109,0.047,0.053,0.048,AAA,82,Gaia DR3 5338564015865196800,4.1633826008683235
0.071,10250260-5721473,156.260834,-57.363148,10.505,9.571,9.035,0.026,0.023,0.023,AAA,83,Gaia DR3 5351766715283439104,0.07304100425661011
0.077,07594624-2844031,119.942673,-28.734203,10.053,9.887,9.61,0.032,0.033,0.027,EEA,84,Gaia DR3 5597770416085979648,0.091194096825837
0.161,14130353-6526527,213.264734,-65.447975,10.958,10.666,10.351,0.024,0.025,0.023,AAA,85,Gaia DR3 5852718536596531968,0.18927899249294364
0.195,13080715-6518215,197.029804,-65.305977,5.571,5.566,5.434,0.023,0.047,0.018,AAA,86,Gaia DR3 5858915766471945984,0.2003892809428871
0.12,13112771-6345598,197.865479,-63.766621,10.99,9.78,8.578,0.022,0.022,0.019,AAA,87,Gaia DR3 5862209147378793344,0.14634411026849264
0.112,13125237-6323458,198.218241,-63.396069,11.863,11.521,11.16,0.028,0.036,0.033,AAA,88,Gaia DR3 5862235604379974016,0.14171828590882915
0.123,13122766-6244220,198.11529,-62.739449,13.159,11.824,10.708,0.023,0.022,0.021,AAA,89,Gaia DR3 5862501613104119424,0.15239956397867888
0.067,13120905-6243267,198.037744,-62.724087,10.208,8.567,7.577,0.023,0.042,0.038,AAA,90,Gaia DR3 5862501922341768704,0.09536080088817032
0.01,13122497-6242002,198.10408,-62.700062,9.422,8.146,7.477,0.032,0.046,0.027,AAA,91,Gaia DR3 5862502338987191552,0.03599918963547784
0.076,13122850-6241509,198.11879,-62.697498,9.813,8.834,8.15,0.036,0.04,0.034,EAA,92,Gaia DR3 5862502338987197312,0.10555715437741661
0.098,13122855-6241438,198.118966,-62.695522,8.255,7.266,6.61,0.02,0.049,0.02,AAA,93,Gaia DR3 5862502338987201408,0.10600833983878949
0.082,13125770-6240599,198.240443,-62.683315,10.825,9.83,8.981,0.026,0.029,0.027,AAA,94,Gaia DR3 5862525634891347968,0.11077143923800817
0.04,12525567-6346380,193.231989,-63.777229,11.244,10.481,9.892,0.026,0.022,0.023,AAA,95,Gaia DR3 5862723203396880128,0.0694200088242093
4.806,13334479-6407342,203.436646,-64.12619,12.728,11.821,11.545,0.029,0.033,0.046,AAA,96,Gaia DR3 5864204692281636864,4.783296703388178
0.095,13334538-6407312,203.439101,-64.125351,11.844,11.478,10.77,0.045,0.063,0.033,EEE,96,Gaia DR3 5864204692281636864,0.12264263456265462
0.018,13493255-6131422,207.385631,-61.528412,8.795,7.709,6.609,0.021,0.034,0.024,AAA,97,Gaia DR3 5865643433220067328,0.030547688078429114
0.181,13541345-6150018,208.55608,-61.833855,13.603,12.066,10.864,0.026,0.023,0.025,AAA,98,Gaia DR3 5867065376634816896,0.21107140827019333
0.147,13305325-6204517,202.721891,-62.081043,8.745,7.915,6.835,0.029,0.026,0.026,AAA,99,Gaia DR3 5868384073377056384,0.16352108062356158
0.152,15241131-6240374,231.047129,-62.677082,7.955,7.278,6.403,0.026,0.031,0.017,AAA,101,Gaia DR3 5875086524484367232,0.17158727674317617
0.134,15134172-5911449,228.423835,-59.195816,8.459,7.278,6.165,0.019,0.049,0.026,AAA,102,Gaia DR3 5876932844981435904,0.16335478142790086
0.116,14310613-6120595,217.775558,-61.349873,9.108,8.347,7.752,0.032,0.026,0.021,EAA,103,Gaia DR3 5878402612822904704,0.12651740919810953
0.246,14462640-5923291,221.610032,-59.391434,8.41,7.424,6.873,0.024,0.033,0.021,AAA,104,Gaia DR3 5879035145561896448,0.27541755177079486
0.13,15024614-5827067,225.69226,-58.451862,12.392,11.042,10.183,0.029,0.031,0.023,AAA,105,Gaia DR3 5879721167786590720,0.14374881977579781
0.14,15105766-5757286,227.74026,-57.95797,13.837,12.191,11.114,0.041,0.032,0.023,AAA,106,Gaia DR3 5880077688741091968,0.16833656825234888
0.121,15073185-5815098,226.882746,-58.252731,13.11,11.659,10.803,0.041,0.055,0.078,AAA,107,Gaia DR3 5880092291630768512,0.1483851983122742
4.207,15073238-5815097,226.884921,-58.25272,11.641,11.186,10.962,0.04,0.056,0.045,EEA,107,Gaia DR3 5880092291630768512,4.236655472464231
0.125,14565519-5550585,224.229999,-55.849609,12.498,12.031,11.329,0.041,0.045,0.032,AAA,108,Gaia DR3 5881477813761075712,0.1544626209939922
0.121,15294469-5834512,232.436247,-58.580891,7.067,6.557,5.744,0.024,0.036,0.027,AAA,109,Gaia DR3 5882096598319863936,0.14852294438584746
0.18,15371079-5613185,234.294998,-56.221809,9.569,7.467,5.851,0.023,0.023,0.024,AAA,110,Gaia DR3 5883543486825643648,0.20766657871098443
0.074,15352652-5604123,233.860532,-56.070091,13.841,12.386,11.457,0.037,0.04,0.028,AAA,111,Gaia DR3 5883559253643620864,0.10429054177401123
0.039,15484210-5507542,237.175439,-55.131725,11.185,9.708,8.49,0.028,0.029,0.023,AAA,112,Gaia DR3 5884424092561607168,0.046665103571008205
0.43,15430468-5511123,235.769504,-55.186764,10.96,9.936,9.056,0.029,0.034,0.026,AAA,113,Gaia DR3 5884464430895359616,0.45112448535228306
0.52,15391701-5549189,234.820884,-55.821918,14.124,12.581,11.501,0.033,0.031,0.025,AAA,114,Gaia DR3 5885078984866033920,0.5396116328205763
4.825,16040427-5310463,241.017804,-53.179546,12.376,11.653,11.54,0.03,0.033,0.019,AEA,115,Gaia DR3 5932918014247209472,4.845563648766781
0.191,16040379-5310443,241.015829,-53.178993,13.134,11.899,11.171,0.028,0.026,0.051,AAA,115,Gaia DR3 5932918014247209472,0.22189960939130945
0.061,16242623-5132060,246.109301,-51.535027,8.601,8.244,7.837,0.026,0.036,0.023,AAA,116,Gaia DR3 5934037012236694272,0.09139993544301538
0.201,16161381-5136417,244.057545,-51.611603,9.727,9.224,8.798,0.026,0.03,0.028,AAA,117,Gaia DR3 5934745299485840768,0.231027116365792
